
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#

= Überblick über die ÖPNV-Linien des "Verkehrsverbund Tirol"

- Verweis auf die Datei mit den [[Austria/Nahverkehr_Tirol/Analyse/VVT-Linien|VVT-Linien]] im Wiki.
- Verweis auf mehr [/de/config.php?network=AT-VVT Informationen] bei PTNA.


== Züge

FV;train;Sonderfahrplan für den Fernverkehr Tirol;Landeck-Zams;Kufstein/Hochfilzen
4102;bus;Mayrhofen - Ginzling (im Sommer bis Schlegeis Stausee)
4104;bus;Mayrhofen - Finkenberg - Tux/Lanersbach - Hintertux
4111;bus;Schwaz - Stans - Jenbach - Wiesing - Münster - Brixlegg
4113;bus;Brixlegg - Radfeld - Kramsach - Breitenbach a. I.
4115;bus;Brixlegg - Hagau - Kramsach - Radfeld - Brixlegg
4119;bus;Schwaz - Buch i. T. - Jenbach/Brixlegg
4121;bus;Schwaz - Strass i. Z. - Jenbach - Brixlegg - Kundl - Wörgl - Kufstein
4123;bus;Schwaz - Innsbruck - Telfs
4125;bus;Innsbruck - Hall in Tirol - Volders - Wattens - Schwaz
4130;bus;Innsbruck - DEZ - Ampass - Hall in Tirol
4132;bus;Innsbruck - DEZ - Ampass - Aldrans - Sistrans - Lans - Igls - Patsch
4134;bus;Innsbruck - Aldrans - Lans - Sistrans - Rinn/Judenstein - Tulfes - Hall in Tirol
4140;bus;Innsbruck - Gärberbach - Unterberg - Schönberg i. St.
4141;bus;Innsbruck - Igls - Patsch - Ellbögen - Pfons - Matrei a. Br. - Steinach a. Br.
4142;bus;Innsbruck - Natters
4143;bus;Steinach a. Br. - Gries a. Br. - Brennero/Brenner
4144;bus;Steinach a. Br. - St. Jodok a. Br. - Schmirn/Vals
4145;bus;Schönberg i. St. - Matrei a. Br. - Steinach a. Br. - Gries a. Br. - Obernberg
4146;bus;Steinach a. Br. - Trins - Gschnitz
4161;bus;Völs - Götzens - Mutters - Natters
4162;bus;Innsbruck - Götzens - Birgitz - Axams/Kristen - Grinzens
4165;bus;Innsbruck - Völs - Kematen i. T. - Ranggen - Oberperfuss
4166;bus;Innsbruck - Völs - Kematen i. T. - Sellrain - Gries i. S. - St. Sigmund - Kühtai
4168;bus;Zirl - Kematen i. T. - Axams
4169;bus;Mils - Hall in Tirol - Rum - Innsbruck - Lohbach - Völs
4175;bus;Stams - Mieming - Obsteig
4176;bus;Innsbruck - Zirl/Hochzirl LKH - Telfs - Nassereith
4196;bus;Imst - Ötztal Bf - Haiming - Silz - Mötz - Oetz - Ochsengarten - Kühtai
4198;bus;Imst - Imst-Pitztal Bahnhof - Karrösten

==== 4200er-Linien

4204;bus;Imst - Arzl i. P. - Wenns - Jerzens - St. Leonhard i. P. - Mittelberg
4206;bus;Nassereith - Tarrenz - Obtarrenz - Imst - Zams - Landeck
4230;bus;Landeck - Fließ
4232;bus;Landeck - Prutz - Kauns - Feichten - Kaunertal Wiißeseeferner/ Ochsenalmlift (nur im Winter/only in winter)
4236;bus;Landeck - Prutz - Ried i. O. - Ladis - Fiss - Serfaus
4242;bus;Landeck - Flirsch - Pettneu a. A. - St. Jakob a. A. - St. Anton a. A.
4244;bus;Landeck - Grins
4246;bus;Landeck - Stanz b. L.

==== 4800er-Linien

4825;bus;Skibus Waidring (nur im Winter/only in winter)

==== 4900er-Linien

4902;bus;Kufstein - Schwoich - Söll

==== 5000er-Linien

5051;bus;Skibus Sölden (nur im Winter/only in winter)

==== 7800er-Linien

7801;bus;Achenkirch - Steinberg am Rofan

==== 8300er-Linien

8301;bus;Fieberbrunn - St. Johann i. T. - Oberndorf i. T. - Kitzbühel
8302;bus;Hochfilzen - Fieberbrunn - St. Jakob i. H. - St. Ulrich a. P. - Waidring
8311;bus;Bruckhäusl - Kirchbichl - Wörgl - Kundl - Breitenbach a. I.
8327;bus;Ramsau i. Z. - Hippach - Schwendau - Burgstall - Mayrhofen (nicht im Winter/not in winter)
8328;bus;Mayrhofen - Bärenbad - Zillergrund Staumauer (nicht im Winter/not in winter)
8329;bus;Jenbach: Bahnhof - Achenseestraße/Zoll -Tratzbergstraße - Bahnhof
8330;bus;Innsbruck - Schwaz - Jenbach - Mayrhofen
8332;bus;Jenbach - Wiesing - Eben a. A. - Maurach - Pertisau
8333;bus;Uderns - Fügen - Pankrazberg - Hochfügen (nicht im Winter/not in winter)
8336;bus;Jenbach - Kasbach - Maurach
8340;bus;Mayrhofen/Ramsau i. Z. - Hippach - Schwendberg
8352;bus;Innsbruck - Telfs - Mötz - Silz - Haiming - Ötztal Bahnhof - weiter bis Obergurgl
8354;bus;Seefeld i. T. - Mösern - Buchen - Telfs
8357;bus;Rumer-Linie: Neu-Rum - Rum
8365;bus;Matrei a. Br. - Navis
8380;bus;Innsbruck - Hall in Tirol - Wattens - Schwaz
8381;bus;Schwaz - Pill - Weerberg
8384;bus;Schwaz - Vomp - Terfens - Neu-Terfens - Weer

==== 8400-Linien
    
8405;bus;Moos - Stuls - Timmelsjoch - Obergurgl (nur im Sommer/only in summer)


=== Ortsverkehr Axams

409T;bus;Dorfbus: Axams - Kristen


=== Ortsverkehr Ehrwald und Umgebung

1;bus;Ehrwald - Biberwier - Lermoos - Ehrwald
2;bus;Ehrwald - Lermoos - Bichlbach - Heiterwang - Hängebrücke
3;bus;Ehrwald: Tiroler Zugspitzbahn - Bahnhof - Kirchplatz - Almbahn
4;bus;Ehrwald Dorfbus (nur im Winter/only in winter)
5;bus;Berwang/Brand - Bichlbach - Lermoos - Ehrwald - Biberwier (nur im Winter/only in winter)
6;bus;Berwang/Brand - Bichlbach Almkopf Bergbahn (nur im Winter/only in Winter)
7;bus;Ehrwald - Lermoos - Biberwier - Ehrwald


=== Ortsverkehr Kappl

1;bus;Ortsverkehr Kappl


=== Ortsverkehr Reutte

1;bus;Reutte: Bahnhof - Lechaschau - Wängle und zurück
2;bus;Reutte: Reutte Bahnhof - Ehenbichl und zurück
3;bus;Reutte: Reutte Bahnhof - Breitenwang - Bad Kreckelmoos und zurück



=== Ortsverkehr St. Anton a. A. und Umgebung

1;bus;Shuttlebus AntOOn;;Regio Arlberg Buslinien
5;bus;St. Anton - St. Jakob Untergand (über Bundesstraße) (nur Winter);;Regio Arlberg Buslinien



=== Ortsverkehr Telfs

1;bus;Telfs: Sonnensiedlung - Südtiroler Siedlung - Schul- und Sportzentrum;;;Regio Bus Telfs
2;bus;Telfs - Pfaffenhofen - Oberhofen - Flaurling - Polling - Hatting - Inzing - Zirl;;;Regio Bus Telfs
3;bus;Telfs: Schul- und Sportzentrum - TGKK - Egart - Wasserwaal - Sagl;;;Regio Bus Telfs


=== Stadtverkehr Hall in Tirol

1A;bus;Innweg - Kurhaus;;;Regio Bus Hall in Tirol
1B;bus;Innweg - Bahnhof;;;Regio Bus Hall in Tirol
2;bus;Bahnhof - Kurhaus - Heiligkreuz - Schwimmbad - Bahnhof;;;Regio Bus Hall in Tirol
3;bus;Bahnhof - Eichat - Gnadenwald;;;Regio Bus Hall in Tirol
6;bus;Bahnhof - Mils - Eichat - Hall i. T. Bahnhof;;;Regio Bus Hall in Tirol
7;bus;Bahnhof - Eichat - Mils - Hall i. T. Bahnhof;;;Regio Bus Hall in Tirol


=== Stadtverkehr Imst

