
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


= Überblick über die ÖPNV-Linien des Verkehrsverbund Steiermark (Verbund Linie)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Steiermark/Analyse/VVSt-Linien|VVSt Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-VVSt Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
== S-Bahn
309;bus;;;;Hannes Fuchs;AT-VVSt;at:stv:309:
310;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:310:
311;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:311:
312;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:312:
314;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:314:
316;bus;;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:316:
317;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:317:
323;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:323:
324;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:324:
326;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:326:
327;bus;;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:327:
331;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:331:
332;bus;;;;Gruber GmbH & Co KG;AT-VVSt;at:stv:332:
334;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:334:
336;bus;;;;Karl Johann Wilfling;AT-VVSt;at:stv:336:
337;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:337:
338;bus;Teilstrecke: Freienberg - Stubenberg;;;Karl Johann Wilfling;AT-VVSt;at:stv:1338:
338;bus;Teilstrecke: Lebing - Haring - Oberharing - Floing - Lebing;;;Karl Johann Wilfling;AT-VVSt;at:stv:2338:
338;bus;Buchberg - Schielleiten - Stubenberg - Schielleiten - Buchberg;;;Karl Johann Wilfling;AT-VVSt;at:stv:338:
338;bus;Teilstrecke: Lebing - Unterfeistritz - Lebing;;;Karl Johann Wilfling;AT-VVSt;at:stv:4338:
342;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:342:
343;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:343:
344;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:344:
346;bus;;;;Retter GmbH;AT-VVSt;at:stv:346:
347;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:347:
350;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:1350:
350;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:2350:
350;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:3350:
350;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:350:
351;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:351:
352;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:352:
363;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:363:
364;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:364:
372;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:372:
373;bus;;;;Hannes Fuchs;AT-VVSt;at:stv:373:
376;bus;;;;Hannes Fuchs;AT-VVSt;at:stv:376:
388;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:388:
=== Bereich 4xx
X40;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:9040:
X41;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:9041:
400;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:400:
404;bus;;;;RegioBus Steiermark;AT-VVSt;at:stv:404:
405;bus;;;;Wolf Reisen GmbH;AT-VVSt;at:stv:405:
