
#
# Diese Daten sind Input für das Tool: PTNA - Public Transport Network Analysis (https://ptna.openstreetmap.de)
#


#
# TODO: Zuordnen der mehrfach vorkommenden 'ref'-Werte zu den jeweiligen regionalen Linien
#


= Überblick über die ÖPNV-Linien des Verkehrsverbund Vorarlberg (VVV)

- Verweis auf diese Liste mit den [[Austria/Nahverkehr_Vorarlberg/Analyse/VVV-Linien|VVV Linien]] im OSM-Wiki.
-
- Verweis auf mehr [/de/config.php?network=AT-VVV Informationen] zu dieser Auswertung.
-

== Quellen 
-
#
==S-Bahn
S1;train;Lindau - Bregenz - Dornbirn - Hohenems - Götzis - Rankweil - Feldkirch - Bludenz;;;;1-MS1-V-j26-1
401s;bus;"Schulbus Feldkirch";;;Stadtbus Feldkirch;AT-VVV;at:vvv:999:;
402;bus;Ringlinie: Katzenturm - Bahnhof - Altenstadt - Gisingen - Nofels - Tosters - LKH - Katzenturm;;;Stadtbus Feldkirch;AT-VVV;at:vvv:402:;
402s;bus;"Schulbus Feldkirch";;;Stadtbus Feldkirch;AT-VVV;at:vvv:991:;
403;bus;Feldkirch Montforthaus - Tosters Hub;;;Stadtbus Feldkirch;AT-VVV;at:vvv:403:;
403s;bus;"Schulbus Feldkirch";;;Stadtbus Feldkirch;AT-VVV;at:vvv:992:;
404;bus;Feldkirch Bahnhof - Nofels - Bangs;;;Stadtbus Feldkirch;AT-VVV;at:vvv:404:;
405;bus;Feldkirch Bahnhof - Gisingen;;;Stadtbus Feldkirch;AT-VVV;at:vvv:405:;
406;bus;Feldkirch Montforthaus - Gisingen;;;Stadtbus Feldkirch;AT-VVV;at:vvv:406:;
407;bus;Feldkirch Bahnhof - Letze - Frastanz Maria Grün - Montforthaus;;;Stadtbus Feldkirch;AT-VVV;at:vvv:407:;
408;bus;Feldkirch Bahnhof - Frastanz Maria Grün - Letze - Bahnhof;;;Stadtbus Feldkirch;AT-VVV;at:vvv:408:;
409;bus;Feldkirch Bahnhof - Antoniushaus - Tisis - Fangsweg;;;Stadtbus Feldkirch;AT-VVV;at:vvv:409:;
414;bus;Feldkirch Bahnhof - Gisingen - Nofels - Bangs;;;Stadtbus Feldkirch;AT-VVV;at:vvv:414:;
-
#
==Landbus Oberes Rheintal
425;bus;Meiningen - Brederis - Rankweil;Meiningen;Rankweil;Landbus Oberes Rheintal;AT-VVV;at:vvv:425:;
427;bus;Feldkirch Busplatz - Gisingen - Industrie Runa - Brederis;Feldkirch;Feldkirch;Landbus Oberes Rheintal;AT-VVV;at:vvv:427:;
428;bus;Feldkirch - Brederis - Rankweil Bahnhof und retour;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:428:;
430;bus;Götzis - Koblach Straßenhäuser - Klaus - Weiler - Röthis - Sulz - Rankweil - Feldkirch;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:430:;
431;bus;Götzis - Klaus - Weiler - Röthis - Sulz - Rankweil;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:431:;
440;bus;Brederis - Rankweil - Röthis - Klaus - Weiler - Sulz - Muntlix - Rankweil - Altenstadt - Levis - Feldkirch;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:440:;
441;bus;Götzis - Klaus - Weiler - Röthis - Sulz - Muntlix;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:441:;
445;bus;Götzis - Klaus - Weiler - Röthis - Sulz - Muntlix - Rankweil - Feldkirch LKH;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:445:;
450;bus;Gesamtfahrplan Rankweil Bahnhof - Rankweil LKH;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:450:;
455;bus;Feldkirch - Brederis - Rankweil Wiesengasse und retour;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:450:;
456;bus;Rankweil - Brederis;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:456:;
457;bus;"Brederis Krönele-Rankweil Römergrund-Bahnhof";;;Landbus Oberes Rheintal;AT-VVV;at:vvv:457:;
460;bus;Koblach - Götzis;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:460:;
461;bus;Klaus Bahnhof - Koblach Neuburg - Götzis;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:461:;
462;bus;Klaus Bahnhof - Koblach - Götzis;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:462:;
470;bus;Klaus - Rankweil - Feldkirch - Eschen - Schaan;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:470:;
480;bus;Rankweil - Landeskrankenhaus - Göfis - Feldkirch;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:480:;
481;bus;Rankweil - Göfis;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:481:;
485;bus;Feldkirch - Göfis - Rankweil;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:485:;
492;bus;Fraxern - Weiler ( - Klaus);;;Landbus Oberes Rheintal;AT-VVV;at:vvv:492:;
493;bus;Viktorsberg - Röthis - Sulz Bahnhof;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:493:;
494;bus;Dafins - Röthis - Sulz - Muntlix;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:494:;
495;bus;Laterns - Batschuns - Muntlix - Sulz - Rankweil;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:495:;
496;bus;Übersaxen - Rankweil;;;Landbus Oberes Rheintal;AT-VVV;at:vvv:496:;
497;bus;"Innerlaterns-Furkajoch-Damüls";;;Landbus Oberes Rheintal;AT-VVV;at:vvv:497:;
-
#
==Stadtbus Bludenz
501;bus;Bludenz Bahnhof - Landeskrankenhaus - Muttersberg - Obdorf - Bahnhof;;;Stadtbus Bludenz;AT-VVV;at:vvv:501:;
502;bus;Bludenz Bahnhof - Brunnenfeld - Beim Kreuz - Bahnhof;;;Stadtbus Bludenz;AT-VVV;at:vvv:502:;
503;bus;Bludenz Bahnhof - Stadion - Rungelin - Bahnhof;;;Stadtbus Bludenz;AT-VVV;at:vvv:503:;
504;bus;Val Blu - Bludenz Bahnhof - Bürs;;;Stadtbus Bludenz;AT-VVV;at:vvv:504:;
-
#
==Landbus Walgau, Großes Walsertal und Brandnertal
520;bus;(Bludenz) - Nenzing - Frastanz ( - Feldkirch);;;Landbus Walgau;AT-VVV;at:vvv:520:;
521;bus;Bürs - Bludenz - Nenzing - Beschling und retour;;;Landbus Walgau;AT-VVV;at:vvv:521:;
#522;bus;Beschling - Bürs;;;Landbus Walgau;AT-VVV;at:vvv:522:;
524;bus;"Schulbus Nenzing-Latz-Gurtis";;;Landbus Walgau;AT-VVV;at:vvv:524:;
525;bus;"Nenzing-Schlins-Frastanz";;;Landbus Walgau;AT-VVV;at:vvv:525:;
530;bus;Bludenz - Schlins - Satteins - Feldkirch;;;Landbus Walgau;AT-VVV;at:vvv:530:;
531;bus;Frastanz - Amerlügen (Parzellenbus);;;Landbus Walgau;AT-VVV;at:vvv:531:;
532;bus;Frastanz - Gurtis;;;Landbus Walgau;AT-VVV;at:vvv:532:;
534;bus;"Parzellenbus" Frastanz-Amerlügen";;;Landbus Walgau;AT-VVV;at:vvv:534:;
535;bus;Eilkurs Nenzing - Schlins - Frastanz - Feldkirch;;;Landbus Walgau;AT-VVV;at:vvv:535:;
540;bus;"Schlins-Satteins-Frastanz-Feldkirch";;;Landbus Walgau;AT-VVV;at:vvv:540:;
545;bus;"Frastanz-Feldkirch";;;Landbus Walgau;AT-VVV;at:vvv:545:;
550;bus;Nenzing - Schlins - Düns - Dünserberg - Älpele;;;Landbus Walgau;AT-VVV;at:vvv:550:;
